RespondentID	Gender	Age	State	Education	ConditionGroup	Pers1	Pers2	Pers3	Pers4	Pers5	Pers6	Pers7	Pers8	Pers9	Pers10	CC.PRE.OP	CC.IN.COND	CC.EX.COND	CC.IN.SUM	CC.EX.SUM	CC.IN.OP1	CC.IN.OP2	CC.IN.OP3	CC.IN.OP4	CC.IN.OP5	CC.IN.OP6	CC.EX.OP1	CC.EX.OP2	CC.EX.OP3	CC.EX.OP4	CC.EX.OP5	CC.EX.OP6	CC.Speaker	CC.SPEAKER.ATT	CC.FRIEND	CC.ATT.SUM	CC.PAIN.IN	CC.PAIN.EX	CC.TREAT.SUM	CC.QUOTE	CC.QUOTE.AGR	CC.Condition	CC.QUOTE.POL	CC.DIR	CC.Order	VA.PRE.OP	VA.IN.COND	VA.EX.COND	VA.IN.SUM	VA.EX.SUM	VA.IN.OP1	VA.IN.OP2	VA.IN.OP3	VA.IN.OP4	VA.IN.OP5	VA.IN.OP6	VA.IN.OP7	VA.IN.OP8	VA.EX.OP1	VA.EX.OP2	VA.EX.OP3	VA.EX.OP4	VA.EX.OP5	VA.EX.OP6	VA.EX.OP7	VA.EX.OP8	VA.Speaker	VA.SPEAKER.ATT	VA.FRIEND	VA.ATT.SUM	VA.PAIN.IN	VA.PAIN.EX	VA.TREAT.SUM	VA.QUOTE	VA.QUOTE.AGR	VA.Condition	VA.QUOTE.POL	VA.DIR	VA.Order	IM.PRE.OP	IM.IN.COND	IM.EX.COND	IM.IN.SUM	IM.EX.SUM	IM.IN.OP1	IM.IN.OP2	IM.IN.OP3	IM.IN.OP4	IM.IN.OP5	IM.EX.OP1	IM.EX.OP2	IM.EX.OP3	IM.EX.OP4	IM.EX.OP5	IM.Speaker	IM.SPEAKER.ATT	IM.FRIEND	IM.ATT.SUM	IM.PAIN.IN	IM.PAIN.EX	IM.TREAT.SUM	IM.QUOTE	IM.QUOTE.AGR	IM.Condition	IM.QUOTE.POL	IM.DIR	IM.Order	AB.PRE.OP	AB.IN.COND	AB.EX.COND	AB.IN.SUM	AB.EX.SUM	AB.IN.OP1	AB.IN.OP2	AB.IN.OP3	AB.IN.OP4	AB.IN.OP5	AB.IN.OP6	AB.IN.OP7	AB.IN.OP8	AB.IN.OP9	AB.EX.OP1	AB.EX.OP2	AB.EX.OP3	AB.EX.OP4	AB.EX.OP5	AB.EX.OP6	AB.EX.OP7	AB.EX.OP8	AB.EX.OP9	AB.Speaker	AB.SPEAKER.ATT	AB.FRIEND	AB.ATT.SUM	AB.PAIN.IN	AB.PAIN.EX	AB.TREAT.SUM	AB.QUOTE	AB.QUOTE.AGR	AB.Condition	AB.QUOTE.POL	AB.DIR	AB.Order
IntegerID of respondent	Gender of participant	Age of participant	State of residence in the US as a 2-letter postal code	Education of the participant	"Condition group of the participant. Order of conditions for all groups:
 like / disagree | dislike / agree | dislike / disagree | expert / disagree
Group 1: ClimateChange | Vaccination | Immigration | Abortion
Group 2: Abortion | ClimateChange | Vaccination | Immigration
Group 3: Immigration | Abortion | ClimateChange | Vaccination
Group 4: Vaccination | Immigration | Abortion | ClimateChange"	"TIPI personality questionnaire question 1:
"Extraverted, enthusiastic"	"TIPI personality questionnaire question 2 (REVERSED):
"Critical, quarrelsome"	"TIPI personality questionnaire question 3:
"Dependable, self-disciplined"	"TIPI personality questionnaire question 4 (REVERSED):
"Anxious, easily upset"	"TIPI personality questionnaire question 5:
"Open to new experiences, complex"	"TIPI personality questionnaire question 6 (REVERSED):
"Reserved, quiet"	"TIPI personality questionnaire question 7:
"Sympathetic, warm"	"TIPI personality questionnaire question 8 (REVERSED):
"Disorganized, careless"	"TIPI personality questionnaire question 9:
"Calm, emotionally stable"	"TIPI personality questionnaire question 10 (REVERSED):
"Conventional, uncreative"	"Prior condensed opinion on climate change (from the qualification survey)
LOW (1): "Climate change is a serious threat that all of us need to address"
HIGH (7): "The risks of climate change are vastly exaggerated"	"Condensed opinion on climate change (before treatment)
LOW (1): "Climate change is a serious threat that all of us need to address"
HIGH (7): "The risks of climate change are vastly exaggerated"	"Condensed opinion on climate change (after treatment)
LOW (1): "Climate change is a serious threat that all of us need to address"
HIGH (7): "The risks of climate change are vastly exaggerated"	Summary of participant's opinion on climate change (before treatment)	Summary of participant's opinion on climate change (after treatment)	"Full opinion questionnaire on climate change before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 1/6: "We cannot do anything to stop global climate change"	"Full opinion questionnaire on climate change before treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 2/6: "Knowing about environmental problems and issues is important to me"	"Full opinion questionnaire on climate change before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 3/6: "I think most of the concerns about environmental problems have been exaggerated"	"Full opinion questionnaire on climate change before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 4/6: "Things I do have no effect on the quality of the environment"	"Full opinion questionnaire on climate change before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 5/6: "It is a waste of time to work to solve environmental problems"	"Full opinion questionnaire on climate change before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 6/6: "There is not much I can do that will help solve environmental problems"	"Full opinion questionnaire on climate change after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 1/6: "We cannot do anything to stop global climate change"	"Full opinion questionnaire on climate change after treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 2/6: "Knowing about environmental problems and issues is important to me"	"Full opinion questionnaire on climate change after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 3/6: "I think most of the concerns about environmental problems have been exaggerated"	"Full opinion questionnaire on climate change after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
